exper_n,exper_id,model_type,rmse
1,season_500,dl,2.7050238001994624
1,season_500,pb,1.721969419565665
1,season_500,pgdl,1.158555836879913
1,similar_10,dl,3.200232205046065
1,similar_10,pb,1.9489516214880094
1,similar_10,pgdl,1.398895890528174
1,similar_100,dl,2.021459777619027
1,similar_100,pb,1.4850557338901356
1,similar_100,pgdl,1.0819765605664404
1,similar_2,pb,2.7720045122800223
1,similar_2,pgdl,1.5822382751799238
1,similar_50,dl,1.8369733337294656
1,similar_50,pb,1.6192540764040206
1,similar_50,pgdl,1.163771716447073
1,similar_500,dl,1.0854660727534748
1,similar_500,pb,1.4765339654651073
1,similar_500,pgdl,0.9433235916503009
1,similar_980,dl,1.0164286166653662
1,similar_980,pb,1.4700067796358938
1,similar_980,pgdl,0.8767910299779889
1,year_500,dl,1.4123535373146048
1,year_500,pb,1.8361983396541977
1,year_500,pgdl,1.0063930064560798
2,season_500,dl,2.3250920414344316
2,season_500,pb,2.702102581373575
2,season_500,pgdl,1.0946405500314433
2,similar_10,dl,3.3999010883665552
2,similar_10,pb,1.5717318592638871
2,similar_10,pgdl,1.311714660270286
2,similar_100,dl,1.7737961842691117
2,similar_100,pb,1.8283659657369782
2,similar_100,pgdl,1.15103115083281
2,similar_2,pb,2.1288923480187267
2,similar_2,pgdl,1.5442403577367196
2,similar_50,dl,2.459983621052138
2,similar_50,pb,1.5445289427066924
2,similar_50,pgdl,1.1211163300985665
2,similar_500,dl,1.2473182548952464
2,similar_500,pb,1.2432323609105214
2,similar_500,pgdl,0.9390229890629186
2,similar_980,dl,1.1065112899642084
2,similar_980,pb,1.2432323609105214
2,similar_980,pgdl,0.921411880113436
2,year_500,dl,1.519283706564013
2,year_500,pb,2.229898524364377
2,year_500,pgdl,0.911378127836241
3,season_500,dl,2.733605942546191
3,season_500,pb,1.7246298377633427
3,season_500,pgdl,1.1767187494665983
3,similar_10,dl,3.939272009793463
3,similar_10,pb,1.7418705339379874
3,similar_10,pgdl,1.7088557294232691
3,similar_100,dl,1.6386477352062847
3,similar_100,pb,1.428511166951631
3,similar_100,pgdl,0.9965795046590029
3,similar_2,pb,4.727510990888603
3,similar_2,pgdl,1.9740462739154419
3,similar_50,dl,2.7886703334427727
3,similar_50,pb,1.4780141283111508
3,similar_50,pgdl,0.9886015650427827
3,similar_500,dl,1.6421899284387496
3,similar_500,pb,1.5039762486449784
3,similar_500,pgdl,0.9016451470978657
3,similar_980,dl,1.1061875610987064
3,similar_980,pb,1.4399626002955834
3,similar_980,pgdl,0.8491217539296757
3,year_500,dl,1.800594379572485
3,year_500,pb,1.4017271269957081
3,year_500,pgdl,1.0342615618730286
4,season_500,dl,2.640890529531888
4,season_500,pb,1.6689897603956514
4,season_500,pgdl,1.2259580934197565
4,similar_10,dl,3.1472641262392274
4,similar_10,pb,1.7484193047427032
4,similar_10,pgdl,1.5732527381566355
4,similar_100,dl,1.5496418332837003
4,similar_100,pb,1.4647668324865957
4,similar_100,pgdl,1.0506482527809757
4,similar_2,pb,2.5713129050258785
4,similar_2,pgdl,1.6261506493049824
4,similar_50,dl,1.639011336830362
4,similar_50,pb,1.7993264224551047
4,similar_50,pgdl,1.1027540093447317
4,similar_500,dl,1.10684014268415
4,similar_500,pb,1.6195522648821765
4,similar_500,pgdl,0.9592434275416176
4,similar_980,dl,0.9704943625865143
4,similar_980,pb,1.9969636864925164
4,similar_980,pgdl,0.9526537709136356
4,year_500,dl,1.245970326772345
4,year_500,pb,1.6427723335229825
4,year_500,pgdl,1.0405825921191771
5,season_500,dl,2.5643724887445525
5,season_500,pb,1.7237126472925373
5,season_500,pgdl,1.2817670283444593
5,similar_10,dl,3.0679882705112527
5,similar_10,pb,2.767443050431494
5,similar_10,pgdl,1.3598512801212705
5,similar_100,dl,1.6518495722083848
5,similar_100,pb,1.9859017183353964
5,similar_100,pgdl,1.0847039930289908
5,similar_2,pb,2.935999202918958
5,similar_2,pgdl,2.126850789673571
5,similar_50,dl,2.1823446488613527
5,similar_50,pb,1.6763667277257601
5,similar_50,pgdl,1.2158483748425115
5,similar_500,dl,1.3403167048164188
5,similar_500,pb,1.604146388097986
5,similar_500,pgdl,1.0182446781850114
5,similar_980,dl,1.1715715973580614
5,similar_980,pb,1.6690017536966302
5,similar_980,pgdl,0.9785595826146167
5,year_500,dl,1.4087447132716977
5,year_500,pb,1.44303821489208
5,year_500,pgdl,0.9790462790420335
